strategy,round,side,amount,result,bankroll,roi
Player1_Martingale,256,Tai,400000.00,Lose,95365000.00,-4.63%
Player1_Martingale,257,Tai,800000.00,Lose,94565000.00,-5.44%
Player1_Martingale,258,Tai,1000000.00,Win,95515000.00,-4.49%
Player1_Martingale,259,Xiu,50000.00,Lose,95465000.00,-4.54%
Player1_Martingale,260,Xiu,100000.00,Lose,95365000.00,-4.63%
Player1_Martingale,261,Xiu,200000.00,Lose,95165000.00,-4.83%
Player1_Martingale,262,Tai,400000.00,Win,95545000.00,-4.46%
Player1_Martingale,263,Tai,50000.00,Win,95592500.00,-4.41%
Player1_Martingale,264,Tai,50000.00,Lose,95542500.00,-4.46%
Player1_Martingale,265,Xiu,100000.00,Lose,95442500.00,-4.56%
Player1_Martingale,266,Tai,200000.00,Win,95632500.00,-4.37%
Player1_Martingale,267,Tai,50000.00,Win,95680000.00,-4.32%
Player1_Martingale,268,Tai,50000.00,Win,95727500.00,-4.27%
Player1_Martingale,269,Xiu,50000.00,Lose,95677500.00,-4.32%
Player1_Martingale,270,Xiu,100000.00,Win,95772500.00,-4.23%
Player1_Martingale,271,Xiu,50000.00,Win,95820000.00,-4.18%
Player1_Martingale,272,Xiu,50000.00,Win,95867500.00,-4.13%
Player1_Martingale,273,Xiu,50000.00,Win,95915000.00,-4.08%
Player1_Martingale,274,Tai,50000.00,Lose,95865000.00,-4.13%
Player1_Martingale,275,Xiu,100000.00,Lose,95765000.00,-4.23%
Player1_Martingale,276,Tai,200000.00,Win,95955000.00,-4.04%
Player1_Martingale,277,Tai,50000.00,Lose,95905000.00,-4.09%
Player1_Martingale,278,Tai,100000.00,Lose,95805000.00,-4.20%
Player1_Martingale,279,Xiu,200000.00,Lose,95605000.00,-4.40%
Player1_Martingale,280,Xiu,400000.00,Lose,95205000.00,-4.79%
Player1_Martingale,281,Xiu,800000.00,Lose,94405000.00,-5.59%
Player1_Martingale,282,Xiu,1000000.00,Lose,93405000.00,-6.59%
Player1_Martingale,283,Xiu,1000000.00,Lose,92405000.00,-7.60%
Player1_Martingale,284,Tai,1000000.00,Win,93355000.00,-6.64%
Player1_Martingale,285,Xiu,50000.00,Win,93402500.00,-6.60%
Player1_Martingale,286,Tai,50000.00,Win,93450000.00,-6.55%
Player1_Martingale,287,Xiu,50000.00,Lose,93400000.00,-6.60%
Player1_Martingale,288,Tai,100000.00,Win,93495000.00,-6.50%
Player1_Martingale,289,Xiu,50000.00,Win,93542500.00,-6.46%
Player1_Martingale,290,Tai,50000.00,Lose,93492500.00,-6.51%
Player1_Martingale,291,Tai,100000.00,Win,93587500.00,-6.41%
Player1_Martingale,292,Tai,50000.00,Lose,93537500.00,-6.46%
Player1_Martingale,293,Xiu,100000.00,Lose,93437500.00,-6.56%
Player1_Martingale,294,Xiu,200000.00,Win,93627500.00,-6.37%
Player1_Martingale,295,Tai,50000.00,Lose,93577500.00,-6.42%
Player1_Martingale,296,Xiu,100000.00,Lose,93477500.00,-6.52%
Player1_Martingale,297,Tai,200000.00,Win,93667500.00,-6.33%
Player1_Martingale,298,Tai,50000.00,Win,93715000.00,-6.29%
Player1_Martingale,299,Tai,50000.00,Win,93762500.00,-6.24%
Player1_Martingale,300,Tai,50000.00,Win,93810000.00,-6.19%
Player1_Martingale,301,Xiu,50000.00,Lose,93760000.00,-6.24%
Player1_Martingale,302,Tai,100000.00,Lose,93660000.00,-6.34%
Player1_Martingale,303,Xiu,200000.00,Win,93850000.00,-6.15%
Player1_Martingale,304,Tai,50000.00,Lose,93800000.00,-6.20%
Player1_Martingale,305,Tai,100000.00,Win,93895000.00,-6.11%
Player1_Martingale,306,Tai,50000.00,Lose,93845000.00,-6.16%
Player1_Martingale,307,Tai,100000.00,Win,93940000.00,-6.06%
Player1_Martingale,308,Xiu,50000.00,Lose,93890000.00,-6.11%
Player1_Martingale,309,Tai,100000.00,Win,93985000.00,-6.02%
Player1_Martingale,310,Tai,50000.00,Lose,93935000.00,-6.07%
Player1_Martingale,311,Tai,100000.00,Lose,93835000.00,-6.17%
Player1_Martingale,312,Tai,200000.00,Win,94025000.00,-5.97%
Player1_Martingale,313,Xiu,50000.00,Win,94072500.00,-5.93%
Player1_Martingale,314,Xiu,50000.00,Win,94120000.00,-5.88%
Player1_Martingale,315,Xiu,50000.00,Lose,94070000.00,-5.93%
Player1_Martingale,316,Tai,100000.00,Win,94165000.00,-5.83%
Player1_Martingale,317,Xiu,50000.00,Win,94212500.00,-5.79%
Player1_Martingale,318,Tai,50000.00,Lose,94162500.00,-5.84%
Player1_Martingale,319,Tai,100000.00,Lose,94062500.00,-5.94%
Player1_Martingale,320,Xiu,200000.00,Win,94252500.00,-5.75%
Player1_Martingale,321,Tai,50000.00,Lose,94202500.00,-5.80%
Player1_Martingale,322,Xiu,100000.00,Win,94297500.00,-5.70%
Player1_Martingale,323,Xiu,50000.00,Lose,94247500.00,-5.75%
Player1_Martingale,324,Xiu,100000.00,Lose,94147500.00,-5.85%
Player1_Martingale,325,Tai,200000.00,Lose,93947500.00,-6.05%
Player1_Martingale,326,Xiu,400000.00,Lose,93547500.00,-6.45%
Player1_Martingale,327,Tai,800000.00,Lose,92747500.00,-7.25%
Player1_Martingale,328,Tai,1000000.00,Win,93697500.00,-6.30%
Player1_Martingale,329,Tai,50000.00,Lose,93647500.00,-6.35%
Player1_Martingale,330,Xiu,100000.00,Lose,93547500.00,-6.45%
Player1_Martingale,331,Tai,200000.00,Lose,93347500.00,-6.65%
Player1_Martingale,332,Tai,400000.00,Win,93727500.00,-6.27%
